TOP6d155165	START
TOP9ae7b428	rule_buf_r	:
TOP9ae7b428	session	hashcat
TOP9ae7b428	veracrypt_pim	0
TOP9ae7b428	hashlist_mode	5
TOP9ae7b428	hashlist_format	0
TOP8b1d3095	START
TOP8b1d3095	attack_mode	0
TOP8b1d3095	attack_kern	0
TOP8b1d3095	benchmark	1
TOP8b1d3095	stdout_flag	0
TOP8b1d3095	bitmap_min	16
TOP8b1d3095	bitmap_max	24
TOP8b1d3095	debug_mode	0
TOP8b1d3095	force	0
TOP8b1d3095	kernel_accel	0
TOP8b1d3095	kernel_loops	0
TOP8b1d3095	nvidia_spin_damp	100
TOP8b1d3095	gpu_temp_disable	0
TOP8b1d3095	gpu_temp_abort	90
TOP8b1d3095	gpu_temp_retain	75
TOP8b1d3095	hash_mode	0
TOP8b1d3095	hex_charset	0
TOP8b1d3095	hex_salt	0
TOP8b1d3095	hex_wordlist	0
TOP8b1d3095	increment	0
TOP8b1d3095	increment_max	54
TOP8b1d3095	increment_min	1
TOP8b1d3095	keyspace	0
TOP8b1d3095	left	0
TOP8b1d3095	logfile_disable	0
TOP8b1d3095	loopback	0
TOP8b1d3095	markov_classic	0
TOP8b1d3095	markov_disable	0
TOP8b1d3095	markov_threshold	0
TOP8b1d3095	outfile_autohex	1
TOP8b1d3095	outfile_check_timer	5
TOP8b1d3095	outfile_format	3
TOP8b1d3095	potfile_disable	0
TOP8b1d3095	powertune_enable	0
TOP8b1d3095	scrypt_tmto	0
TOP8b1d3095	quiet	0
TOP8b1d3095	remove	0
TOP8b1d3095	remove_timer	60
TOP8b1d3095	restore	0
TOP8b1d3095	restore_disable	0
TOP8b1d3095	restore_timer	60
TOP8b1d3095	rp_gen	0
TOP8b1d3095	rp_gen_func_max	4
TOP8b1d3095	rp_gen_func_min	1
TOP8b1d3095	rp_gen_seed	0
TOP8b1d3095	runtime	0
TOP8b1d3095	segment_size	32
TOP8b1d3095	show	0
TOP8b1d3095	status	0
TOP8b1d3095	machine_readable	0
TOP8b1d3095	status_timer	10
TOP8b1d3095	usage	0
TOP8b1d3095	username	0
TOP8b1d3095	version	0
TOP8b1d3095	weak_hash_threshold	100
TOP8b1d3095	workload_profile	2
TOP8b1d3095	limit	0
TOP8b1d3095	skip	0
TOP8b1d3095	separator	:
TOP8b1d3095	opencl_device_types	2
TOP8b1d3095	opencl_vector_width	0
TOP8b1d3095	rule_buf_l	:
TOP8b1d3095	rule_buf_r	:
TOP8b1d3095	session	hashcat
TOP8b1d3095	veracrypt_pim	0
TOP8b1d3095	hashlist_mode	5
TOP8b1d3095	hashlist_format	0
TOP79e7ab6a	START
TOP79e7ab6a	attack_mode	3
TOP79e7ab6a	attack_kern	3
TOP79e7ab6a	benchmark	0
TOP79e7ab6a	stdout_flag	0
TOP79e7ab6a	bitmap_min	16
TOP79e7ab6a	bitmap_max	24
TOP79e7ab6a	debug_mode	0
TOP79e7ab6a	force	0
TOP79e7ab6a	kernel_accel	0
TOP79e7ab6a	kernel_loops	0
TOP79e7ab6a	nvidia_spin_damp	100
TOP79e7ab6a	gpu_temp_disable	0
TOP79e7ab6a	gpu_temp_abort	90
TOP79e7ab6a	gpu_temp_retain	75
TOP79e7ab6a	hash_mode	9600
TOP79e7ab6a	hex_charset	0
TOP79e7ab6a	hex_salt	0
TOP79e7ab6a	hex_wordlist	0
TOP79e7ab6a	increment	0
TOP79e7ab6a	increment_max	54
TOP79e7ab6a	increment_min	1
TOP79e7ab6a	keyspace	0
TOP79e7ab6a	left	0
TOP79e7ab6a	logfile_disable	0
TOP79e7ab6a	loopback	0
TOP79e7ab6a	markov_classic	0
TOP79e7ab6a	markov_disable	0
TOP79e7ab6a	markov_threshold	0
TOP79e7ab6a	outfile_autohex	1
TOP79e7ab6a	outfile_check_timer	5
TOP79e7ab6a	outfile_format	3
TOP79e7ab6a	potfile_disable	0
TOP79e7ab6a	powertune_enable	0
TOP79e7ab6a	scrypt_tmto	0
TOP79e7ab6a	quiet	0
TOP79e7ab6a	remove	0
TOP79e7ab6a	remove_timer	60
TOP79e7ab6a	restore	0
TOP79e7ab6a	restore_disable	0
TOP79e7ab6a	restore_timer	60
TOP79e7ab6a	rp_gen	0
TOP79e7ab6a	rp_gen_func_max	4
TOP79e7ab6a	rp_gen_func_min	1
TOP79e7ab6a	rp_gen_seed	0
TOP79e7ab6a	runtime	0
TOP79e7ab6a	segment_size	32
TOP79e7ab6a	show	0
TOP79e7ab6a	status	1
TOP79e7ab6a	machine_readable	0
TOP79e7ab6a	status_timer	10
TOP79e7ab6a	usage	0
TOP79e7ab6a	username	0
TOP79e7ab6a	version	0
TOP79e7ab6a	weak_hash_threshold	0
TOP79e7ab6a	workload_profile	2
TOP79e7ab6a	limit	0
TOP79e7ab6a	skip	0
TOP79e7ab6a	separator	:
TOP79e7ab6a	opencl_vector_width	0
TOP79e7ab6a	outfile	../Avancement grade.crack
TOP79e7ab6a	rule_buf_l	:
TOP79e7ab6a	rule_buf_r	:
TOP79e7ab6a	session	hashcat
