# Fichier d'exportation de valeurs de pixels transparents généré par QGIS
#
#
# Rouge	Vert	Blue	Transparence (%)

250	254	254	99
250	254	253	99
250	254	252	99
250	254	251	99
250	254	250	99
250	254	249	98
250	254	248	98
250	254	247	98
250	254	246	98
250	254	245	98
250	253	255	99
250	253	254	99
250	253	253	99
250	253	252	99
250	253	251	99
250	253	250	98
250	253	249	98
250	253	248	98
250	253	247	98
250	253	246	98
250	253	245	98
250	252	255	99
250	252	254	99
250	252	253	99
250	252	252	99
250	252	251	98
250	252	250	98
250	252	249	98
250	252	248	98
250	252	247	98
250	252	246	98
250	252	245	98
250	251	255	99
250	251	254	99
250	251	253	99
250	251	252	98
250	251	251	98
250	251	250	98
250	251	249	98
250	251	248	98
250	251	247	98
250	251	246	98
250	251	245	98
250	250	255	99
250	250	254	99
250	250	253	98
250	250	252	98
250	250	251	98
250	250	250	98
250	250	249	98
250	250	248	98
250	250	247	98
250	250	246	98
250	250	245	97
250	249	255	99
250	249	254	98
250	249	253	98
250	249	252	98
250	249	251	98
250	249	250	98
250	249	249	98
250	249	248	98
250	249	247	98
250	249	246	97
250	249	245	97
250	248	255	98
250	248	254	98
250	248	253	98
250	248	252	98
250	248	251	98
250	248	250	98
250	248	249	98
250	248	248	98
250	248	247	97
250	248	246	97
250	248	245	97
250	247	255	98
250	247	254	98
250	247	253	98
250	247	252	98
250	247	251	98
250	247	250	98
250	247	249	98
250	247	248	97
250	247	247	97
250	247	246	97
250	247	245	97
250	246	255	98
250	246	254	98
250	246	253	98
250	246	252	98
250	246	251	98
250	246	250	98
250	246	249	97
250	246	248	97
250	246	247	97
250	246	246	97
250	246	245	97
250	245	255	98
250	245	254	98
250	245	253	98
250	245	252	98
250	245	251	98
250	245	250	97
250	245	249	97
250	245	248	97
250	245	247	97
250	245	246	97
250	245	245	97
249	255	255	99
249	255	254	99
249	255	253	99
249	255	252	99
249	255	251	99
249	255	250	99
249	255	249	98
249	255	248	98
249	255	247	98
249	255	246	98
249	255	245	98
249	254	255	99
249	254	254	99
249	254	253	99
249	254	252	99
249	254	251	99
249	254	250	98
249	254	249	98
249	254	248	98
249	254	247	98
249	254	246	98
249	254	245	98
249	253	255	99
249	253	254	99
249	253	253	99
249	253	252	99
249	253	251	98
249	253	250	98
249	253	249	98
249	253	248	98
249	253	247	98
249	253	246	98
249	253	245	98
249	252	255	99
249	252	254	99
249	252	253	99
249	252	252	98
249	252	251	98
249	252	250	98
249	252	249	98
249	252	248	98
249	252	247	98
249	252	246	98
249	252	245	98
249	251	255	99
249	251	254	99
249	251	253	98
249	251	252	98
249	251	251	98
249	251	250	98
249	251	249	98
249	251	248	98
249	251	247	98
249	251	246	98
249	251	245	97
249	250	255	99
249	250	254	98
249	250	253	98
249	250	252	98
249	250	251	98
249	250	250	98
249	250	249	98
249	250	248	98
249	250	247	98
249	250	246	97
249	250	245	97
249	249	255	98
249	249	254	98
249	249	253	98
249	249	252	98
249	249	251	98
249	249	250	98
249	249	249	98
249	249	248	98
249	249	247	97
249	249	246	97
249	249	245	97
249	248	255	98
249	248	254	98
249	248	253	98
249	248	252	98
249	248	251	98
249	248	250	98
249	248	249	98
249	248	248	97
249	248	247	97
249	248	246	97
249	248	245	97
249	247	255	98
249	247	254	98
249	247	253	98
249	247	252	98
249	247	251	98
249	247	250	98
249	247	249	97
249	247	248	97
249	247	247	97
249	247	246	97
249	247	245	97
249	246	255	98
249	246	254	98
249	246	253	98
249	246	252	98
249	246	251	98
249	246	250	97
249	246	249	97
249	246	248	97
249	246	247	97
249	246	246	97
249	246	245	97
249	245	255	98
249	245	254	98
249	245	253	98
249	245	252	98
249	245	251	97
249	245	250	97
249	245	249	97
249	245	248	97
249	245	247	97
249	245	246	97
249	245	245	97
248	255	255	99
248	255	254	99
248	255	253	99
248	255	252	99
248	255	251	99
248	255	250	98
248	255	249	98
248	255	248	98
248	255	247	98
248	255	246	98
248	255	245	98
248	254	255	99
248	254	254	99
248	254	253	99
248	254	252	99
248	254	251	98
248	254	250	98
248	254	249	98
248	254	248	98
248	254	247	98
248	254	246	98
248	254	245	98
248	253	255	99
248	253	254	99
248	253	253	99
248	253	252	98
248	253	251	98
248	253	250	98
248	253	249	98
248	253	248	98
248	253	247	98
248	253	246	98
248	253	245	98
248	252	255	99
248	252	254	99
248	252	253	98
248	252	252	98
248	252	251	98
248	252	250	98
248	252	249	98
248	252	248	98
248	252	247	98
248	252	246	98
248	252	245	97
248	251	255	99
248	251	254	98
248	251	253	98
248	251	252	98
248	251	251	98
248	251	250	98
248	251	249	98
248	251	248	98
248	251	247	98
248	251	246	97
248	251	245	97
248	250	255	98
248	250	254	98
248	250	253	98
248	250	252	98
248	250	251	98
248	250	250	98
248	250	249	98
248	250	248	98
248	250	247	97
248	250	246	97
248	250	245	97
248	249	255	98
248	249	254	98
248	249	253	98
248	249	252	98
248	249	251	98
248	249	250	98
248	249	249	98
248	249	248	97
248	249	247	97
248	249	246	97
248	249	245	97
248	248	255	98
248	248	254	98
248	248	253	98
248	248	252	98
248	248	251	98
248	248	250	98
248	248	249	97
248	248	248	97
248	248	247	97
248	248	246	97
248	248	245	97
248	247	255	98
248	247	254	98
248	247	253	98
248	247	252	98
248	247	251	98
248	247	250	97
248	247	249	97
248	247	248	97
248	247	247	97
248	247	246	97
248	247	245	97
248	246	255	98
248	246	254	98
248	246	253	98
248	246	252	98
248	246	251	97
248	246	250	97
248	246	249	97
248	246	248	97
248	246	247	97
248	246	246	97
248	246	245	97
248	245	255	98
248	245	254	98
248	245	253	98
248	245	252	97
248	245	251	97
248	245	250	97
248	245	249	97
248	245	248	97
248	245	247	97
248	245	246	97
248	245	245	96
247	255	255	99
247	255	254	99
247	255	253	99
247	255	252	99
247	255	251	98
247	255	250	98
247	255	249	98
247	255	248	98
247	255	247	98
247	255	246	98
247	255	245	98
247	254	255	99
247	254	254	99
247	254	253	99
247	254	252	98
247	254	251	98
247	254	250	98
247	254	249	98
247	254	248	98
247	254	247	98
247	254	246	98
247	254	245	98
247	253	255	99
247	253	254	99
247	253	253	98
247	253	252	98
247	253	251	98
247	253	250	98
247	253	249	98
247	253	248	98
247	253	247	98
247	253	246	98
247	253	245	97
247	252	255	99
247	252	254	98
247	252	253	98
247	252	252	98
247	252	251	98
247	252	250	98
247	252	249	98
247	252	248	98
247	252	247	98
247	252	246	97
247	252	245	97
247	251	255	98
247	251	254	98
247	251	253	98
247	251	252	98
247	251	251	98
247	251	250	98
247	251	249	98
247	251	248	98
247	251	247	97
247	251	246	97
247	251	245	97
247	250	255	98
247	250	254	98
247	250	253	98
247	250	252	98
247	250	251	98
247	250	250	98
247	250	249	98
247	250	248	97
247	250	247	97
247	250	246	97
247	250	245	97
247	249	255	98
247	249	254	98
247	249	253	98
247	249	252	98
247	249	251	98
247	249	250	98
247	249	249	97
247	249	248	97
247	249	247	97
247	249	246	97
247	249	245	97
247	248	255	98
247	248	254	98
247	248	253	98
247	248	252	98
247	248	251	98
247	248	250	97
247	248	249	97
247	248	248	97
247	248	247	97
247	248	246	97
247	248	245	97
247	247	255	98
247	247	254	98
247	247	253	98
247	247	252	98
247	247	251	97
247	247	250	97
247	247	249	97
247	247	248	97
247	247	247	97
247	247	246	97
247	247	245	97
247	246	255	98
247	246	254	98
247	246	253	98
247	246	252	97
247	246	251	97
247	246	250	97
247	246	249	97
247	246	248	97
247	246	247	97
247	246	246	97
247	246	245	96
247	245	255	98
247	245	254	98
247	245	253	97
247	245	252	97
247	245	251	97
247	245	250	97
247	245	249	97
247	245	248	97
247	245	247	97
247	245	246	96
247	245	245	96
246	255	255	99
246	255	254	99
246	255	253	99
246	255	252	98
246	255	251	98
246	255	250	98
246	255	249	98
246	255	248	98
246	255	247	98
246	255	246	98
246	255	245	98
246	254	255	99
246	254	254	99
246	254	253	98
246	254	252	98
246	254	251	98
246	254	250	98
246	254	249	98
246	254	248	98
246	254	247	98
246	254	246	98
246	254	245	97
246	253	255	99
246	253	254	98
246	253	253	98
246	253	252	98
246	253	251	98
246	253	250	98
246	253	249	98
246	253	248	98
246	253	247	98
246	253	246	97
246	253	245	97
246	252	255	98
246	252	254	98
246	252	253	98
246	252	252	98
246	252	251	98
246	252	250	98
246	252	249	98
246	252	248	98
246	252	247	97
246	252	246	97
246	252	245	97
246	251	255	98
246	251	254	98
246	251	253	98
246	251	252	98
246	251	251	98
246	251	250	98
246	251	249	98
246	251	248	97
246	251	247	97
246	251	246	97
246	251	245	97
246	250	255	98
246	250	254	98
246	250	253	98
246	250	252	98
246	250	251	98
246	250	250	98
246	250	249	97
246	250	248	97
246	250	247	97
246	250	246	97
246	250	245	97
246	249	255	98
246	249	254	98
246	249	253	98
246	249	252	98
246	249	251	98
246	249	250	97
246	249	249	97
246	249	248	97
246	249	247	97
246	249	246	97
246	249	245	97
246	248	255	98
246	248	254	98
246	248	253	98
246	248	252	98
246	248	251	97
246	248	250	97
246	248	249	97
246	248	248	97
