-- open spool at Fri May 11 17:02:47 CEST 2012
Tables
-------------+----------------------+------------+---------+
 TABLE_SCHEM |      TABLE_NAME      | TABLE_TYPE | REMARKS |
 CLIENT1     | FORMDOC_IREFEREN     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ISUPMAT      | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ITECHNIQ     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ITYPEDOC     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ITYPEENT     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ITYPEREC     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_ITYPOBJE     | TABLE      | [NULL]  |
 CLIENT1     | FORMDOC_POSTIT       | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_FORMPROD    | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_IAUTR_NO    | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_IBIOGRAP    | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_IDEX_D      | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_IDEX_F      | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_IDOMINT     | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_INAT_ID     | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_INOM        | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_IPROD_ID    | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_IQUAL_ID    | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_IREF        | TABLE      | [NULL]  |
 CLIENT1     | FORMPROD_ITYPE       | TABLE      | [NULL]  |
 CLIENT1     | IAPP_CDAPPLI         | TABLE      | [NULL]  |
 CLIENT1     | IAPPIDAK             | TABLE      | [NULL]  |
 CLIENT1     | IDAAPPK              | TABLE      | [NULL]  |
 CLIENT1     | IDA_CDAPPLI          | TABLE      | [NULL]  |
 CLIENT1     | IDAIDGR              | TABLE      | [NULL]  |
 CLIENT1     | IDAIDOU              | TABLE      | [NULL]  |
 CLIENT1     | IDG_CDAPPLI          | TABLE      | [NULL]  |
 CLIENT1     | IDG_CDUSR            | TABLE      | [NULL]  |
 CLIENT1     | IDGEMAIL             | TABLE      | [NULL]  |
 CLIENT1     | IDGGRP               | TABLE      | [NULL]  |
 CLIENT1     | IDGIDAR              | TABLE      | [NULL]  |
 CLIENT1     | IDGIDU               | TABLE      | [NULL]  |
 CLIENT1     | IDGIDUG              | TABLE      | [NULL]  |
 CLIENT1     | IDOUIDA              | TABLE      | [NULL]  |
 CLIENT1     | IDU_CDAPPLI          | TABLE      | [NULL]  |
 CLIENT1     | IDU_CDUSR            | TABLE      | [NULL]  |
 CLIENT1     | IDUEMAIL             | TABLE      | [NULL]  |
 CLIENT1     | IDUIDG               | TABLE      | [NULL]  |
 CLIENT1     | IDUIDGU              | TABLE      | [NULL]  |
 CLIENT1     | IDUUSR               | TABLE      | [NULL]  |
 CLIENT1     | IGED                 | TABLE      | [NULL]  |
 CLIENT1     | IGRP_CDUSR           | TABLE      | [NULL]  |
 CLIENT1     | IGRPIDG              | TABLE      | [NULL]  |
 CLIENT1     | IGST_CDUSR           | TABLE      | [NULL]  |
 CLIENT1     | IINTITUL             | TABLE      | [NULL]  |
 CLIENT1     | ILDGHIDIDDG          | TABLE      | [NULL]  |
 CLIENT1     | ILDGIDIDDG           | TABLE      | [NULL]  |
 CLIENT1     | ILDUIDIDDU           | TABLE      | [NULL]  |
 CLIENT1     | ISOLDOC              | TABLE      | [NULL]  |
 CLIENT1     | IUSR_CDUSR           | TABLE      | [NULL]  |
 CLIENT1     | IUSRIDU              | TABLE      | [NULL]  |
 CLIENT1     | IUST_CDUSR           | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_IBT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_ILTDF         | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_ILTF          | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_INT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_IRT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_IST           | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_ITY           | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_IUFF          | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_IUS           | TABLE      | [NULL]  |
 CLIENT1     | LCT00A_LCT00A        | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_IBT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_ILTDF         | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_ILTF          | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_INT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_IRT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_IST           | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_ITY           | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_IUFF          | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_IUS           | TABLE      | [NULL]  |
 CLIENT1     | LCT00B_LCT00B        | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_IBT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_ILTDF         | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_ILTF          | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_INT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_IRT           | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_IST           | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_ITY           | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_IUFF          | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_IUS           | TABLE      | [NULL]  |
 CLIENT1     | LCT00F_LCT00F        | TABLE      | [NULL]  |
 CLIENT1     | LCT001_IBT           | TABLE      | [NULL]  |
 CLIENT1     | LCT001_IHXF          | TABLE      | [NULL]  |
 CLIENT1     | LCT001_ILTDF         | TABLE      | [NULL]  |
 CLIENT1     | LCT001_ILTF          | TABLE      | [NULL]  |
 CLIENT1     | LCT001_INT           | TABLE      | [NULL]  |
 CLIENT1     | LCT001_IRT           | TABLE      | [NULL]  |
