11;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
12;Rue ALPHONSE BAUDIN;17000;LA ROCHELLE
7;Rue de BAZEILLES;17000;LA ROCHELLE
71;Rue DE BEAUREGARD;17000;LA ROCHELLE
35;Rue DE BEAUREGARD;17000;LA ROCHELLE
32;Rue BEL AIR;17000;LA ROCHELLE
31;Rue BEL AIR;17000;LA ROCHELLE
33;Rue BEL AIR;17000;LA ROCHELLE
35;Rue BEL AIR;17000;LA ROCHELLE
28;Avenue DE BELGRADE;17000;LA ROCHELLE
26;Avenue DE BELGRADE;17000;LA ROCHELLE
10;Rue DE LA BELLE DE MAI;17000;LA ROCHELLE
10;Rue DE LA BELLE DE MAI;17000;LA ROCHELLE
30;Rue DE LA BELETTE;17000;LA ROCHELLE
17;Rue DE LA BELETTE;17000;LA ROCHELLE
30;Rue DE LA BELETTE;17000;LA ROCHELLE
17;Rue DE LA BELETTE;17000;LA ROCHELLE
45;Rue DE LA BERGERIE;17000;LA ROCHELLE
41;Rue DE LA BERGERIE;17000;LA ROCHELLE
41;Rue DE LA BERGERIE;17000;LA ROCHELLE
41 BIS;Rue DE LA BERGERIE;17000;LA ROCHELLE
22 bis;Rue DE LA BERGERIE;17000;LA ROCHELLE
4;Avenue DE BERLIN;17000;LA ROCHELLE
8;Avenue DE BERLIN;17000;LA ROCHELLE
40;Rue BERNARD PALISSY;17000;LA ROCHELLE
30;Rue BERNARD PALISSY;17000;LA ROCHELLE
10;Square DU BERRY;17000;LA ROCHELLE
76;Rue DE BETHENCOURT;17000;LA ROCHELLE
7;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
7;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
7;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
5;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
13;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
27;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
27;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
27;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
27;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
27;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
11;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
11;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
11;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
33;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
15;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
19;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
15;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
13;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
13;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
29;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
29;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
17;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
5;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
7;Avenue BILLAUD VARENNE;17000;LA ROCHELLE
6;Rue BIZET;17000;LA ROCHELLE
23;Rue BLETTERIE;17000;LA ROCHELLE
10;Rue BLETTERIE;17000;LA ROCHELLE
34;Rue DU BOIS FLEURI;17000;LA ROCHELLE
34;Rue DU BOIS FLEURI;17000;LA ROCHELLE
1;Rue DES BONNES FEMMES;17000;LA ROCHELLE
6;Rue BONPLAND;17000;LA ROCHELLE
